pressure,temperature
19.02,1.85
19.02,1.85
19.02,1.86
19.03,1.8699999999999999
19.03,1.8699999999999999
19.03,1.8699999999999999
19.02,1.85
19.03,1.85
19.02,1.8399999999999999
19.02,1.83
19.03,1.85
19.02,1.8699999999999999
19.03,1.8800000000000001
19.0,1.85
19.02,1.85
19.02,1.8699999999999999
19.02,1.8399999999999999
19.01,1.85
19.02,1.85
19.01,1.8399999999999999
19.02,1.8399999999999999
19.02,1.8399999999999999
19.02,1.86
19.03,1.8399999999999999
19.01,1.85
19.02,1.83
19.02,1.8399999999999999
19.02,1.8399999999999999
19.03,1.86
19.02,1.86
19.01,1.86
19.07,1.8699999999999999
19.02,1.8399999999999999
19.02,1.8399999999999999
19.02,1.85
19.02,1.8399999999999999
19.01,1.81
19.01,1.8399999999999999
19.02,1.8399999999999999
19.02,1.83
19.04,1.83
19.02,1.85
19.02,1.85
19.02,1.85
19.03,1.8399999999999999
19.03,1.83
19.02,1.85
19.02,1.85
19.02,1.86
19.02,1.85
19.02,1.8699999999999999
19.04,1.8699999999999999
19.02,1.85
19.03,1.83
19.02,1.85
19.02,1.86
19.03,1.85
19.02,1.81
19.03,1.7899999999999998
19.02,1.7600000000000002
19.02,1.75
19.02,1.7399999999999998
19.08,1.7600000000000002
19.0,1.78
19.02,1.81
19.02,1.81
19.02,1.7899999999999998
19.03,1.8199999999999998
19.02,1.83
19.02,1.7899999999999998
19.02,1.81
19.02,1.85
19.01,1.85
19.01,1.8199999999999998
19.01,1.81
19.03,1.7899999999999998
19.0,1.7600000000000002
19.02,1.81
19.04,1.78
19.03,1.8
19.02,1.8199999999999998
19.01,1.8399999999999999
19.02,1.8399999999999999
19.02,1.83
19.02,1.83
19.05,1.86
19.03,1.85
19.02,1.83
19.03,1.83
19.03,1.83
19.02,1.7899999999999998
19.02,1.77
19.03,1.8
19.02,1.78
19.02,1.78
19.02,1.7899999999999998
19.02,1.7899999999999998
19.02,1.8
19.02,1.8
19.02,1.83
19.01,1.83
19.02,1.83
19.02,1.8399999999999999
19.02,1.85
19.02,1.86
19.02,1.85
19.02,1.8199999999999998
19.02,1.8
19.02,1.78
19.02,1.7899999999999998
19.02,1.81
19.03,1.83
19.02,1.8399999999999999
19.04,1.8399999999999999
19.03,1.85
19.02,1.8399999999999999
19.02,1.85
19.02,1.8399999999999999
19.02,1.83
19.01,1.83
19.02,1.83
19.04,1.8399999999999999
19.02,1.7899999999999998
19.02,1.8
19.01,1.81
19.02,1.81
19.02,1.77
19.02,1.7399999999999998
19.02,1.77
19.02,1.77
19.03,1.7899999999999998
19.02,1.81
19.05,1.8199999999999998
19.02,1.8
19.02,1.81
19.01,1.8199999999999998
19.02,1.8199999999999998
19.02,1.81
19.02,1.81
19.02,1.83
19.01,1.81
19.03,1.8399999999999999
19.04,1.8399999999999999
19.02,1.8399999999999999
19.03,1.83
19.03,1.7899999999999998
19.02,1.78
19.02,1.7899999999999998
19.02,1.81
19.03,1.81
19.0,1.83
19.02,1.85
19.02,1.85
19.04,1.81
19.03,1.83
19.02,1.8
19.02,1.7399999999999998
19.03,1.75
19.03,1.7899999999999998
19.02,1.7899999999999998
19.03,1.7899999999999998
19.02,1.81
19.04,1.7899999999999998
19.04,1.8
19.03,1.83
19.02,1.8399999999999999
19.02,1.8399999999999999
19.08,1.83
19.02,1.8399999999999999
19.02,1.85
19.02,1.83
19.02,1.81
19.03,1.81
19.03,1.81
19.02,1.81
19.02,1.8199999999999998
19.03,1.81
19.05,1.83
19.03,1.8199999999999998
19.02,1.81
19.02,1.81
19.03,1.86
19.04,1.9300000000000002
19.03,2.02
19.05,2.1
19.06,2.23
19.1,2.3600000000000003
19.13,2.52
19.15,2.62
19.16,2.71
19.18,2.83
19.21,2.9699999999999998
19.23,3.08
19.25,3.18
19.27,3.31
19.29,3.4299999999999997
19.3,3.4899999999999998
19.31,3.55
19.34,3.63
19.28,3.65
19.34,3.71
19.36,3.7399999999999998
19.37,3.7600000000000002
19.36,3.7399999999999998
19.36,3.7600000000000002
19.35,3.75
19.38,3.7399999999999998
19.38,3.79
19.38,3.84
19.41,3.9299999999999997
19.41,4.07
19.44,4.21
19.48,4.37
19.51,4.51
19.51,4.65
19.54,4.7700000000000005
19.55,4.9
19.57,5.05
19.6,5.15
19.6,5.25
19.62,5.34
19.63,5.45
19.65,5.4799999999999995
19.67,5.51
19.66,5.58
19.67,5.62
19.66,5.68
19.67,5.71
19.67,5.71
19.68,5.7299999999999995
19.69,5.76
19.7,5.7700000000000005
19.67,5.7700000000000005
19.68,5.8100000000000005
19.67,5.87
19.7,6.01
19.74,6.2299999999999995
19.78,6.56
19.83,6.95
19.9,7.45
19.98,7.99
20.06,8.59
20.16,9.27
20.26,9.99
20.32,10.72
20.48,11.45
20.58,12.2
20.68,12.919999999999998
20.78,13.680000000000001
20.87,14.4
20.97,15.1
21.07,15.830000000000002
21.17,16.490000000000002
21.24,17.14
21.33,17.72
21.4,18.25
21.46,18.73
21.53,19.15
21.56,19.509999999999998
21.62,19.82
21.64,20.11
21.67,20.32
21.71,20.52
21.72,20.669999999999998
21.75,20.82
21.76,20.94
21.78,21.04
21.79,21.119999999999997
21.79,21.19
21.81,21.23
21.82,21.29
21.82,21.32
21.82,21.35
21.82,21.380000000000003
21.84,21.4
21.82,21.419999999999998
21.84,21.44
21.9,21.45
21.84,21.46
21.83,21.47
21.82,21.46
21.83,21.47
21.83,21.45
21.83,21.45
21.83,21.45
21.83,21.44
21.84,21.44
21.85,21.44
21.84,21.44
21.82,21.43
21.83,21.45
21.85,21.44
21.84,21.44
21.85,21.45
21.84,21.45
21.83,21.46
